feature,importance
distance_from_home,0.2897674043226013
amt_x_distance,0.27446988212765694
distance_squared,0.20805786385077202
merchant_total_deviation,0.1560848973642185
distance_log,0.06822850080022674
merchant_lat_deviation,0.00339144538410645
distance_ratio_to_max,5.654614519927471e-09
distance_x_velocity,4.700941452070954e-10
merchant_long_deviation,2.5553313082301422e-11
age,3.432589325229255e-14
merchant_concentration,1.9717358440718904e-14
cust_amt_median,1.8596425570213093e-14
risk_score,1.7733884871875754e-14
velocity_kmh,1.2555749772094977e-14
amt_deviation_from_median,1.0933961893065612e-14
amt_change_ratio,6.4985358136904144e-15
hour_cos,6.49840274416368e-15
amt_change,5.59089500251649e-15
trans_per_day,4.7753862309423594e-15
velocity_log,4.528669939643544e-15
distance_zscore,3.7598253880814456e-15
cust_dist_std,2.4517061889262207e-15
dow_cos,1.9856819034444432e-15
amt_x_hour,1.7301804173218965e-15
amt_zscore,1.3520628418127542e-15
day_of_month,1.2329148151580355e-15
amt_ratio_to_mean,1.0492471909903935e-15
amt_range_position,8.141482832233393e-16
cust_amt_std,7.588830510163591e-16
amt_vs_category_zscore,5.69879268409447e-16
distance_from_prev,4.934342491750755e-16
dow_sin,4.0276551210553484e-16
amt_vs_category_mean,3.7652194873467046e-16
cust_amt_mean,3.605630725824656e-16
month,2.6413246609176645e-16
merchant_diversity,6.081633389807203e-17
trans_sequence,3.044149418754379e-17
hour,2.788849134838884e-17
time_gap_zscore,7.365116717511229e-18
amt_original,6.600864791137114e-18
category_fraud_rate,5.215600920230818e-18
cust_trans_count,1.4677101395246206e-18
cust_dist_mean,1.3211389953142636e-18
month_cos,1.2185391943670135e-18
is_amount_extreme,0.0
category_gas_transport,0.0
is_very_distant,0.0
is_first_trans,0.0
is_quick_succession,0.0
is_very_quick,0.0
is_impossible_velocity,0.0
is_very_fast_velocity,0.0
is_new_category,0.0
is_new_merchant,0.0
high_risk_combination,0.0
category_food_dining,0.0
category_grocery_pos,0.0
category_grocery_net,0.0
is_very_round,0.0
category_health_fitness,0.0
category_home,0.0
category_kids_pets,0.0
category_misc_net,0.0
category_misc_pos,0.0
category_personal_care,0.0
category_shopping_net,0.0
category_shopping_pos,0.0
category_travel,0.0
is_distance_anomaly,0.0
gender_M,0.0
is_round_amount,0.0
is_amount_high,0.0
month_sin,0.0
hour_sin,0.0
day_of_week,0.0
amt_log,0.0
category_diversity,0.0
category_usage_count,0.0
merchant_usage_count,0.0
category_concentration,0.0
prev_amt,0.0
anomaly_flag_count,0.0
novelty_score,0.0
amt_hundreds,0.0
amt_cents,0.0
amt_percentile_in_history,0.0
amt_squared,0.0
amt_sqrt,0.0
is_weekend,0.0
is_late_night,0.0
is_early_morning,0.0
is_business_hours,0.0
time_since_last_hours,-2.243745206974069e-16
time_since_last_log,-6.950278552813741e-16
combined_zscore,-2.4969083134053994e-15
